"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-01,NA,"D5","TM",12.9
2023-01-01,"00:23:00","D5","TX",15.2
2023-01-01,"08:50:00","D5","TN",10.7
2023-01-01,NA,"D5","HRM",69
2023-01-01,"09:54:00","D5","HRX",97
2023-01-01,"20:00:00","D5","HRN",50
2023-01-01,NA,"D5","PM",976.9
2023-01-01,"10:22:00","D5","PX",978.3
2023-01-01,"15:08:00","D5","PN",975.9
2023-01-01,NA,"D5","PPT",0
2023-01-01,NA,"D5","RS24h",5.8
2023-01-01,NA,"D5","VVM10",1.9
2023-01-01,NA,"D5","DVM10",233
2023-01-01,"00:02:00","D5","VVX10",6.5
2023-01-01,"00:02:00","D5","DVVX10",277
2023-01-01,NA,"X2","TM",11.8
2023-01-01,"12:35:00","X2","TX",16.1
2023-01-01,"03:47:00","X2","TN",8.9
2023-01-01,NA,"X2","HRM",84
2023-01-01,"21:30:00","X2","HRX",97
2023-01-01,"10:02:00","X2","HRN",61
2023-01-01,NA,"X4","TM",13.7
2023-01-01,"12:01:00","X4","TX",16.1
2023-01-01,"04:00:00","X4","TN",11.3
2023-01-01,NA,"X4","HRM",80
2023-01-01,"19:41:00","X4","HRX",100
2023-01-01,"06:19:00","X4","HRN",64
2023-01-01,NA,"X4","PM",1021.8
2023-01-01,"10:00:00","X4","PX",1023.5
2023-01-01,"16:05:00","X4","PN",1020.7
2023-01-01,NA,"X4","PPT",0
2023-01-01,NA,"X4","RS24h",4.8
2023-01-01,NA,"X4","VVM10",0.9
2023-01-01,NA,"X4","DVM10",245
2023-01-01,"10:48:00","X4","VVX10",3.6
2023-01-01,"10:48:00","X4","DVVX10",224
2023-01-01,NA,"X8","TM",11.8
2023-01-01,"11:50:00","X8","TX",16.1
2023-01-01,"06:30:00","X8","TN",8.3
2023-01-01,NA,"X8","HRM",87
2023-01-01,"22:30:00","X8","HRX",100
2023-01-01,"08:43:00","X8","HRN",72
2023-01-01,NA,"X8","PM",1015.9
2023-01-01,"10:30:00","X8","PX",1017.5
2023-01-01,"23:59:00","X8","PN",1014.9
2023-01-01,NA,"X8","PPT",0
2023-01-01,NA,"X8","RS24h",4.6
2023-01-01,NA,"X8","VVM10",0.9
2023-01-01,NA,"X8","DVM10",289
2023-01-01,"11:53:00","X8","VVX10",3.8
2023-01-01,"11:53:00","X8","DVVX10",259
2023-01-02,NA,"D5","TM",12.2
2023-01-02,"13:47:00","D5","TX",14.5
2023-01-02,"22:38:00","D5","TN",10.9
2023-01-02,NA,"D5","HRM",79
2023-01-02,"23:32:00","D5","HRX",100
2023-01-02,"06:55:00","D5","HRN",47
2023-01-02,NA,"D5","PM",975.9
2023-01-02,"23:55:00","D5","PX",978.1
2023-01-02,"05:36:00","D5","PN",974.5
2023-01-02,NA,"D5","PPT",0
2023-01-02,NA,"D5","RS24h",5.1
2023-01-02,NA,"D5","VVM10",2.2
2023-01-02,NA,"D5","DVM10",51
2023-01-02,"22:01:00","D5","VVX10",7.3
2023-01-02,"22:01:00","D5","DVVX10",62
2023-01-02,NA,"X2","TM",11.9
2023-01-02,"13:38:00","X2","TX",15.7
2023-01-02,"07:27:00","X2","TN",8
2023-01-02,NA,"X2","HRM",83
2023-01-02,"23:30:00","X2","HRX",96
2023-01-02,"11:28:00","X2","HRN",65
2023-01-02,NA,"X4","TM",13.7
2023-01-02,"11:46:00","X4","TX",16.3
2023-01-02,"05:47:00","X4","TN",10.2
2023-01-02,NA,"X4","HRM",76
2023-01-02,"20:30:00","X4","HRX",100
2023-01-02,"09:13:00","X4","HRN",60
2023-01-02,NA,"X4","PM",1020.8
2023-01-02,"23:59:00","X4","PX",1023.1
2023-01-02,"05:44:00","X4","PN",1019.4
2023-01-02,NA,"X4","PPT",0
2023-01-02,NA,"X4","RS24h",4.5
2023-01-02,NA,"X4","VVM10",0.8
2023-01-02,NA,"X4","DVM10",69
2023-01-02,"23:50:00","X4","VVX10",3.1
2023-01-02,"23:50:00","X4","DVVX10",6
2023-01-02,NA,"X8","TM",12.6
2023-01-02,"13:30:00","X8","TX",16.4
2023-01-02,"06:14:00","X8","TN",8.2
2023-01-02,NA,"X8","HRM",81
2023-01-02,"21:53:00","X8","HRX",100
2023-01-02,"13:08:00","X8","HRN",52
2023-01-02,NA,"X8","PM",1014.9
2023-01-02,"23:50:00","X8","PX",1017.2
2023-01-02,"05:22:00","X8","PN",1013.4
2023-01-02,NA,"X8","PPT",0
2023-01-02,NA,"X8","RS24h",4.8
2023-01-02,NA,"X8","VVM10",0.8
2023-01-02,NA,"X8","DVM10",11
2023-01-02,"11:37:00","X8","VVX10",4
2023-01-02,"11:37:00","X8","DVVX10",280
2023-01-03,NA,"D5","TM",11.6
2023-01-03,"12:46:00","D5","TX",15.8
2023-01-03,"23:31:00","D5","TN",8.9
2023-01-03,NA,"D5","HRM",76
2023-01-03,"00:10:00","D5","HRX",95
2023-01-03,"14:35:00","D5","HRN",61
2023-01-03,NA,"D5","PM",980.4
2023-01-03,"23:23:00","D5","PX",983
