"codi_districte","nom_districte","codi_barri","nom_barri","codi_aeb","codi_seccio_censal","geometria_etrs89","geometria_wgs84"
"01","Ciutat Vella","01","el Raval","001","001","POLYGON ((431076.464530388 4581077.08434164, 431058.033870507 4581119.40748171, 431046.464734332 4581102.15557691, 431045.063713597 4581099.53458853, 431043.666730816 4581101.66959932, 431022.570525848 4581075.64277201, 430996.353205035 4581035.01498799, 430989.86612286 4581024.61204148, 430971.454883826 4580994.35819344, 430959.958759849 4580978.6352878, 430944.064619273 4580960.76041762, 430929.685499234 4580945.48353492, 430896.342265656 4580915.66980597, 430889.12309663 4580894.36986713, 430884.548989543 4580880.87490588, 430854.332344074 4580799.49116058, 430839.542961628 4580751.32028664, 430820.271537608 4580697.86544935, 430860.525499601 4580693.7601288, 431025.349336775 4580676.04881636, 431125.236047409 4580641.42102496, 431059.048213642 4580535.85557088, 431063.65218624 4580532.49753469, 431124.593875246 4580494.52605468, 431161.851685116 4580471.31276121, 431161.502595511 4580460.07876588, 431166.678561714 4580455.92872527, 431226.071266356 4580419.89425728, 431227.728210944 4580412.97824522, 431597.031344672 4580185.23033577, 431686.529495226 4580330.8565968, 431276.512560165 4580582.84282736, 431332.961282735 4580674.30636151, 431303.89642446 4580691.5895906, 431208.641888933 4580748.23434142, 431222.16606061 4580769.96722985, 431218.938083624 4580772.79825515, 431217.837092561 4580773.90026375, 431216.813102032 4580775.07027173, 431215.866112003 4580776.30427908, 431214.916123492 4580777.72828642, 431214.042137132 4580779.42329312, 431213.342149921 4580781.01429844, 431212.741163055 4580782.65030296, 431212.241176463 4580784.32230667, 431211.849190032 4580786.01630952, 431211.560203788 4580787.73531154, 431211.381217634 4580789.46731268, 431211.307231537 4580791.20831298, 431211.344245426 4580792.94931239, 431211.473257915 4580794.5163111, 431211.738280139 4580797.30530852, 431212.193303429 4580800.2313044, 431212.826326451 4580803.12629887, 431213.633349074 4580805.97429195, 431214.338365072 4580807.99028599, 431216.888409374 4580813.5832647, 431222.836480623 4580822.60821572, 431167.504135193 4580903.72964384, 431097.200139919 4581028.49018421, 431078.362494638 4581072.63532723, 431076.464530388 4581077.08434164))","POLYGON ((2.17574559344731 41.3782641827437, 2.17552038931045 41.3786437961251, 2.17538401009369 41.3784874218993, 2.17536755513722 41.378463695357, 2.17535060736035 41.378482805065, 2.1751013048555 41.3782465808307, 2.17479242954912 41.377878410343, 2.17471604340464 41.377784157705, 2.17449933313239 41.3775100908952, 2.17436365759235 41.3773674929891, 2.17417563815835 41.377205135394, 2.17400543954018 41.3770663068559, 2.17361013502032 41.3767949206054, 2.17352624039625 41.3766024582804, 2.17347308443928 41.3764805202396, 2.17312105431435 41.3757449247101, 2.1729497091429 41.3753097927508, 2.17272537678576 41.37482668412, 2.17320716744158 41.3747931680433, 2.17518000481202 41.3746477909643, 2.17637829656084 41.3743444630792, 2.1755988897318 41.3733879975266, 2.17565432077163 41.3733581470125, 2.17638730751471 41.3730213662399, 2.17683542844592 41.3728154782067, 2.17683253006149 41.3727142668689, 2.17689488908595 41.3726773313031, 2.17760912137913 41.3723578562311, 2.17762971750904 41.3722957071992, 2.18207106061583 41.3702759138326, 2.18312472287107 41.3715951326493, 2.17819376114115 41.3738297979317, 2.17885835681241 41.3746584031903, 2.17850886590771 41.3748115879436, 2.17736346438128 41.3753136345706, 2.17752271033743 41.375510532574, 2.17748379126914 41.3755357549365, 2.17747050135625 41.3755455863163, 2.177458124441 41.3755560367274, 2.17744666097695 41.3755670701431, 2.17743514009471 41.3755798145779, 2.17742449723573 41.375595006323, 2.17741594673388 41.3756092762288, 2.17740857489882 41.3756239598915, 2.17740240666631 41.3756389764216, 2.17739752732564 41.3756542003232, 2.17739387675095 41.3756696581894, 2.17739154000492 41.3756852425377, 2.17739045775543 41.3757009169143, 2.17739070276779 41.375716600771, 2.17739206758333 41.3757307253164, 2.17739492003602 41.3757558676869, 2.17740002884962 41.3757822602051, 2.177407269588 41.3758083887172, 2.1774165962384 41.3758341087735, 2.17742479758209 41.3758523265283, 2.1774546546771 41.3759029188819, 2.17752475384993 41.3759847124631, 2.17685391254273 41.3767106192374, 2.17599906977587 41.3778282849932, 2.17576879481894 41.3782242743227, 2.17574559344731 41.3782641827437))"
"01","Ciutat Vella","01","el Raval","001","002","POLYGON ((431023.108231672 4581164.10175305, 430990.112649109 4581215.88000781, 430765.749433859 4580934.62684499, 430778.541350762 4580924.42074461, 430889.12309663 4580894.36986713, 430896.342265656 4580915.66980597, 430929.685499234 4580945.48353492, 430944.064619273 4580960.76041762, 430959.958759849 4580978.6352878, 430971.454883826 4580994.35819344, 430989.86612286 4581024.61204148, 430996.353205035 4581035.01498799, 431022.570525848 4581075.64277201, 431043.666730816 4581101.66959932, 431045.063713597 4581099.53458853, 431046.464734332 4581102.15557691, 431058.033870507 4581119.40748171, 431050.55198286 4581133.36553912, 431023.108231672 4581164.10175305))","POLYGON ((2.1750976670412 41.3790433512605, 2.1746972125315 41.3795068736675, 2.17204640552629 41.3769544358471, 2.17220053084639 41.3768636129894, 2.17352624039625 41.3766024582804, 2.17361013502032 41.3767949206054, 2.17400543954018 41.3770663068559, 2.17417563815835 41.377205135394, 2.17436365759235 41.3773674929891, 2.17449933313239 41.3775100908952, 2.17471604340464 41.377784157705, 2.17479242954912 41.377878410343, 2.1751013048555 41.3782465808307, 2.17535060736035 41.378482805065, 2.17536755513722 41.378463695357, 2.17538401009369 41.3784874218993, 2.17552038931045 41.3786437961251, 2.17542933406953 41.3787688712229, 2.1750976670412 41.3790433512605))"
"01","Ciutat Vella","01","el Raval","002","003","POLYGON ((430778.541350762 4580924.42074461, 430765.749433859 4580934.62684499, 430698.505771171 4580850.4793956, 430659.277383386 4580801.23871684, 430596.444750003 4580720.82923164, 430750.83360669 4580705.38900222, 430818.317539451 4580698.06446491, 430820.271537608 4580697.86544935, 430839.542961628 4580751.32028664, 430854.332344074 4580799.49116058, 430884.548989543 4580880.87490588, 430889.12309663 4580894.36986713, 430778.541350762 4580924.42074461))","POLYGON ((2.17220053084639 41.3768636129894, 2.17204640552629 41.3769544358471, 2.17125195843767 41.3761907564006, 2.17078852232964 41.3757438809359, 2.17004642001956 41.375014240083, 2.17189423817558 41.3748884744512, 2.1727019898378 41.3748283086208, 2.17272537678576 41.37482668412, 2.1729497091429 41.3753097927508, 2.17312105431435 41.3757449247101, 2.17347308443928 41.3764805202396, 2.17352624039625 41.3766024582804, 2.17220053084639 41.3768636129894))"
"01","Ciutat Vella","01","el Raval","002","004","POLYGON ((430630.881196672 4581028.0419057, 430563.827811972 4581104.07442815, 430496.687272632 4581035.38697528, 430535.005964232 4580997.35367584, 430458.790405863 4580926.13029582, 430447.182475095 4580934.61938703, 430416.542103933 4580887.59863933, 430331.978648921 4580954.53630293, 430319.27752108 4580938.30540696, 430267.138042827 4580877.50883308, 430303.423725661 4580838.34255009, 430378.161110973 4580762.51096642, 430394.244936141 4580740.8588417, 430412.046759902 4580719.0587033, 430471.311717216 4580714.67623115, 430559.331744478 4580719.530528, 430596.444750003 4580720.82923164, 430659.277383386 4580801.23871684, 430698.505771171 4580850.4793956, 430765.749433859 4580934.62684499, 430696.883831082 4580983.29238644, 430649.333075265 4581013.12476094, 430641.561126403 4581019.40782191, 430630.881196672 4581028.0419057))","POLYGON ((2.17042302354862 41.3777841823219, 2.16961251021519 41.3784632009663, 2.16881753405614 41.3778387574116, 2.16928009585939 41.3774995118282, 2.1683769108679 41.3768514414851, 2.16823713490402 41.3769268969283, 2.16787615025957 41.3765007464185, 2.16685729461932 41.3770963167905, 2.16670728631497 41.3769490303714, 2.16609082231499 41.3763969377941, 2.16652920864482 41.3760473226139, 2.16743157953437 41.3753708000325, 2.16762638376681 41.3751771772122, 2.16784174620984 41.3749823694893, 2.16855088934364 41.3749480203983, 2.16960280234568 41.3749993414888, 2.17004642001956 41.375014240083, 2.17078852232964 41.3757438809359, 2.17125195843767 41.3761907564006, 2.17204640552629 41.3769544358471, 2.17121737866749 41.3773868239496, 2.17064537202169 41.3776514185441, 2.17055171874894 41.3777073383357, 2.17042302354862 41.3777841823219))"
"01","Ciutat Vella","01","el Raval","003","005","POLYGON ((430938.036305269 4581297.26840996, 430872.861105349 4581396.48591372, 430845.795390991 4581306.52514456, 430836.143172942 4581279.04322613, 430824.825983271 4581255.0903204, 430816.811859354 4581239.43138695, 430802.759675417 4581216.15250294, 430784.335462353 4581189.15265444, 430766.96428333 4581166.43579682, 430726.389915746 4581119.71112835, 430686.599542168 4581072.24645375, 430641.561126403 4581019.40782191, 430649.333075265 4581013.12476094, 430696.883831082 4580983.29238644, 430765.749433859 4580934.62684499, 430990.112649109 4581215.88000781, 430945.135218126 4581286.46235509, 430938.036305269 4581297.26840996))","POLYGON ((2.17406520850236 41.380235446924, 2.1732745168385 41.3811234725819, 2.1729611228743 41.380310896949, 2.17284883668261 41.3800625458552, 2.17271623868925 41.3798458362748, 2.17262219288557 41.3797041118912, 2.17245681434873 41.3794932375604, 2.17223958129954 41.3792484732998, 2.17203445268336 41.3790423748619, 2.17155460866566 41.3786180476077, 2.17108423031125 41.3781871208988, 2.17055171874894 41.3777073383357, 2.17064537202169 41.3776514185441, 2.17121737866749 41.3773868239496, 2.17204640552629 41.3769544358471, 2.1746972125315 41.3795068736675, 2.17415132961071 41.3801387292691, 2.17406520850236 41.380235446924))"
"01","Ciutat Vella","01","el Raval","003","006","POLYGON ((430872.861105349 4581396.48591372, 430862.423233483 4581412.3759944, 430795.244970055 4581378.28253612, 430787.511948819 4581375.4965983, 430773.592925901 4581372.40070988, 430749.465879601 4581366.20990344, 430719.462811818 4581357.23214435, 430693.170733682 4581347.01635584, 430668.818664122 4581337.90655167, 430610.085482128 4581314.15102427, 430650.398937986 4581246.60171374, 430673.76360088 4581204.72853422, 430701.932236753 4581159.54731692, 430726.389915746 4581119.71112835, 430766.96428333 4581166.43579682, 430784.335462353 4581189.15265444, 430802.759675417 4581216.15250294, 430816.811859354 4581239.43138695, 430824.825983271 4581255.0903204, 430836.143172942 4581279.04322613, 430845.795390991 4581306.52514456, 430872.861105349 4581396.48591372))","POLYGON ((2.1732745168385 41.3811234725819, 2.17314788475384 41.3812656929293, 2.17234843896748 41.3809528479491, 2.17225628365076 41.3809270906682, 2.17209019003824 41.3808980094648, 2.17180238018564 41.3808401744947, 2.17144462265396 41.3807567316261, 2.17113138443204 41.3806624567656, 2.17084121958373 41.3805783094953, 2.17014159716041 41.3803592875843, 2.17063140141236 41.3797543670825, 2.17091558695131 41.3793792414265, 2.17125759289477 41.3789747342565, 2.17155460866566 41.3786180476077, 2.17203445268336 41.3790423748619, 2.17223958129954 41.3792484732998, 2.17245681434873 41.3794932375604, 2.17262219288557 41.3797041118912, 2.17271623868925 41.3798458362748, 2.17284883668261 41.3800625458552, 2.1729611228743 41.380310896949, 2.1732745168385 41.3811234725819))"
"01","Ciutat Vella","01","el Raval","003","007","POLYGON ((430650.398937986 4581246.60171374, 430610.085482128 4581314.15102427, 430582.757409805 4581304.64624391, 430569.694377743 4581300.41734884, 430487.377131666 4581268.248011, 430436.378996265 4581250.45442087, 430435.230992974 4581250.0234301, 430441.139937708 4581243.19138408, 430492.785463848 4581184.63098168, 430563.827811972 4581104.07442815, 430630.881196672 4581028.0419057, 430641.561126403 4581019.40782191, 430686.599542168 4581072.24645375, 430726.389915746 4581119.71112835, 430701.932236753 4581159.54731692, 430673.76360088 4581204.72853422, 430650.398937986 4581246.60171374))","POLYGON ((2.17063140141236 41.3797543670825, 2.17014159716041 41.3803592875843, 2.16981589277979 41.3802713236592, 2.16966016782865 41.3802321081754, 2.16867949811889 41.3799352613926, 2.16807170155521 41.3797705925478, 2.16805802316478 41.3797666114951, 2.16812946668769 41.3797055882084, 2.16875376143185 41.3791826156585, 2.16961251021519 41.3784632009663, 2.17042302354862 41.3777841823219, 2.17055171874894 41.3777073383357, 2.17108423031125 41.3781871208988, 2.17155460866566 41.3786180476077, 2.17125759289477 41.3789747342565, 2.17091558695131 41.3793792414265, 2.17063140141236 41.3797543670825))"
"01","Ciutat Vella","01","el Raval","004","008","POLYGON ((430563.827811972 4581104.07442815, 430492.785463848 4581184.63098168, 430412.302871308 4581109.05963638, 430372.899580829 4581072.01195692, 430331.276273975 4581032.87429552, 430369.793005321 4580999.82399369, 430331.978648921 4580954.53630293, 430416.542103933 4580887.59863933, 430447.182475095 4580934.61938703, 430458.790405863 4580926.13029582, 430535.005964232 4580997.35367584, 430496.687272632 4581035.38697528, 430563.827811972 4581104.07442815))","POLYGON ((2.16961251021519 41.3784632009663, 2.16875376143185 41.3791826156585, 2.16780003357376 41.3784950114069, 2.1673331130538 41.3781579257466, 2.16683989136562 41.3778018221879, 2.16730425867609 41.3775074821149, 2.16685729461932 41.3770963167905, 2.16787615025957 41.3765007464185, 2.16823713490402 41.3769268969283, 2.1683769108679 41.3768514414851, 2.16928009585939 41.3774995118282, 2.16881753405614 41.3778387574116, 2.16961251021519 41.3784632009663))"
"01","Ciutat Vella","01","el Raval","004","009","POLYGON ((430299.18349781 4581060.41154701, 430233.704956374 4581116.83306008, 430211.120709493 4581085.52024546, 430188.360465183 4581054.52643219, 430148.544077914 4581005.33475802, 430149.026074007 4581004.85275426, 430214.19850605 4580934.71424594, 430265.278059078 4580879.51584759, 430267.138042827 4580877.50883308, 430319.27752108 4580938.30540696, 430331.978648921 4580954.53630293, 430369.793005321 4580999.82399369, 430331.276273975 4581032.87429552, 430299.18349781 4581060.41154701))","POLYGON ((2.16645296976079 41.3780470624673, 2.16566350148404 41.3785495590042, 2.1653970491556 41.3782655758147, 2.16512845786734 41.3779844498924, 2.16465801483494 41.3775379405038, 2.1646638339078 41.3775336410867, 2.16545121635429 41.3769075800068, 2.16606835082318 41.3764148531765, 2.16609082231499 41.3763969377941, 2.16670728631497 41.3769490303714, 2.16685729461932 41.3770963167905, 2.16730425867609 41.3775074821149, 2.16683989136562 41.3778018221879, 2.16645296976079 41.3780470624673))"
"01","Ciutat Vella","01","el Raval","004","010","POLYGON ((430441.139937708 4581243.19138408, 430435.230992974 4581250.0234301, 430387.552856274 4581232.11981348, 430358.437813529 4581226.29204676, 430356.981759474 4581219.4930595, 430346.307684445 4581209.91614625, 430336.289630657 4581203.01222732, 430310.505514664 4581188.05643553, 430308.863504385 4581186.74144885, 430294.740402615 4581173.75656368, 430279.549285906 4581158.88168734, 430246.375072526 4581131.59795655, 430240.215027547 4581125.86000665, 430233.704956374 4581116.83306008, 430299.18349781 4581060.41154701, 430331.276273975 4581032.87429552, 430372.899580829 4581072.01195692, 430412.302871308 4581109.05963638, 430492.785463848 4581184.63098168, 430441.139937708 4581243.19138408))","POLYGON ((2.16812946668769 41.3797055882084, 2.16805802316478 41.3797666114951, 2.16748994297415 41.3796012356556, 2.16714245495742 41.3795462273405, 2.16712582478129 41.379484864946, 2.16699928511233 41.3793976847151, 2.16688028319373 41.3793346359745, 2.16657367778824 41.3791977010499, 2.16655419396629 41.3791857151576, 2.16638680447452 41.3790675409842, 2.16620686181987 41.3789322514682, 2.16581330892217 41.3786836402671, 2.16574030861525 41.3786314263161, 2.16566350148404 41.3785495590042, 2.16645296976079 41.3780470624673, 2.16683989136562 41.3778018221879, 2.1673331130538 41.3781579257466, 2.16780003357376 41.3784950114069, 2.16875376143185 41.3791826156585, 2.16812946668769 41.3797055882084))"
